Scenario,Year,Emission_S1,Cost_S1,Emission_C2,Cost_C2,Emission_S2,Cost_S2,Emission_P1,Cost_P1,Emission_C1,Cost_C1,Emission_A1,Cost_A1
GBM,2025,17680866,150.85,10110036,84.38,6688824,59.99,1708759,17.74,1181554,13.51,1003945,12.03
GBM,2026,17405123,147.94,9952364,82.77,6584508,58.81,1682110,17.36,1163127,13.22,988288,11.76
GBM,2027,17133681,146.62,9797152,82.0,6481819,58.33,1655877,17.26,1144987,13.16,972875,11.72
GBM,2028,16866471,146.68,9644360,81.96,6380731,58.47,1630053,17.39,1127130,13.3,957702,11.86
GBM,2029,16603429,139.2,9493950,81.66,6281220,58.39,1604631,17.44,1109552,13.37,942767,11.93
GBM,2030,16344490,137.12,9345887,80.44,6183261,57.53,1579606,17.19,1092248,13.17,928064,11.76
DBM,2025,13725798,116.43,10139141,84.58,7449201,65.49,1576805,16.7,1154455,13.29,951660,11.58
DBM,2026,13495147,114.08,10121600,83.96,7427348,64.89,1460031,15.62,1154995,13.15,944294,11.39
DBM,2027,13330882,113.37,10121390,84.27,7439059,65.26,1350027,14.83,1155143,13.24,942001,11.45
DBM,2028,13260836,114.37,10122834,85.34,7466011,66.38,1259360,14.4,1155179,13.53,941549,11.72
DBM,2029,13241498,115.35,10122726,86.12,7491293,67.26,1192461,14.06,1155187,13.75,941490,11.92
DBM,2030,13237938,115.09,10122199,85.95,7507672,67.23,1147753,13.64,1155188,13.71,941485,11.88
